Word ,Meaning 
interference,"1. व्यक्तिकरण 2. अंतरक्षेप, अंतःक्षेप"
interferon,इंटरफेरॉन
interflow,अंतःप्रवाह
intermediate chemical,मध्यवर्ती रसायन
intermittent sampling,अंतरायिक प्रतिचयन
internal environment,आंतरिक पर्यावरण
internal necrosis,आंतरिक ऊतकक्षय
internode,"पर्व, पोरी"
interplant,अंतरा-रोपण
intensity of rainfall,वर्षातीव्रता
intensive farming,गहन खेती
interspecies competition,अंतरजाति प्रतियोगिता
interstitial water,अंतराकाशी जल
intertidal,अंतराज्वारीय
intertidal zone,अंतराज्वारीय क्षेत्र
intraspecific competition,आंतरजाति प्रतियोगिता
intrinsic factor (inherent factor),नैज कारक
inundation,1. आप्लाव 2. आप्लावन
invasion,आक्रमण
invasion area,आक्रमण क्षेत्र
invasive,आक्रामक
inversion,व्युत्क्रमण
in vitro,पात्रे
in vivo,जीवे
iodine number,आयोडीन संख्या
ion exchange,आयन विनिमय
ion exchange capacity,आयन विनिमय क्षमता
ionization,आयनन
ionizing radiation,आयनकारी विकिरण
ionosphere,आयनमंडल
iron mineral,लोह खनिज
irradiation,किरणन
irreversible process,अनुत्क्रमणीय प्रक्रम
irrigation,सिंचाई
irrigation efficiency,सिंचाई क्षमता
irrigation requirement,अपेक्षित सिंचाई
irrigation spray,फुहार सिंचाई
irritation,"उत्तेजन, प्रकोपन"
irritant,"उत्तेजक, प्रकोपक"
island,द्वीप
isocline,समनति
isolation,पृथकन
isomerism,समावयवता
isomorphism,समाकृतिकता
isothermal,समतापी
isothermal process,समतापी प्रक्रम
isotonic,समपरासारी
isotope,समस्थानिक
isotropic,समदैशिक
iti-iti (disease),इताइ-इताइ (रोग)
itograph,आवृत्तिलेख
Jar test,जार परीक्षण
Jarovisation,बसंतीकरण
jet stream,जेट धारा
joint,संधि
juvenile phase,किशोर प्रावस्था
juxtaposition,"सान्निध्य, सन्निधि"
karyogamy,केंद्रक-संलयन
karyology,केंद्रकविज्ञान
karyotype,गुणसूत्र-प्ररूप
key species,"मुख्य जाति, मुख्य स्पीशीज"
kilo calorie,किलो कैलोरी
klendusity,संक्रमण-पलायनता
kinematics,शुद्धगतिकी
kinesis,गतिक्रम
kinetic energy,गतिज ऊर्जा
klinotaxis,प्रवणानुचलन
knot,गांठ
konospecies (subspecies),उपजाति
kytoon,काइटून
labile,"परिवर्ती, चंचल"
lactometer,दुग्धमापी
lactose,"लैक्टोस, दुग्धशर्करा"
lacustrine,सरोवरी
lag gravel,अवशिष्ट बजरी
lagoon,लैगून
Lamarkism,लमार्कवाद
laminar flow,पटलीय प्रवाह
lamination,पटलन
land,1. भूमि 2. स्थल
land breeze,थल समीर
land bridge,भूसेतु
land degradation,भूअपघटन
land disposal,भूनिपटान
land drainage,भूमि अपवाह
land fill,भू-भरण
land management,भूमि प्रबंधन
land pollution,भू-प्रदूषण
land reclamation,भूमि उद्धार
land resources,"भूमि संसाधन, भू-संसाधन"
landscape,भूदृश्य
landscape planning,भूदृश्य नियोजन
land slide,भूस्खलन
land slip,भूसर्पण
land use,"भूमि उपयोग, भू-उपयोग"
land use change,भूमिउपयोग परिवर्तन
land use planning,भूमि उपयोग नियोजन
La-nina,ला-निन्या
larvicide,डिंभकनाष्ठी
latency period,प्रसुप्ति काल
laterite soil,लैटेराइट मृदा
law of limiting factor,सीमाकारी नियम
law of the minimum (Liebig's law),न्यूनतम का नियम (लीबिग नियम)
leachate,निक्षालक
leaching,निक्षालन
leaf,"1. पर्ण, पत्ती 2. पत्र"
leaf area index,पर्णक्षेत्र सूचकांक
leaf drop,पर्ण पतन
leakage,रिसाव
legume,"शिंब, फली"
lentic,सरोजीवी
lenticel,वातरंध्र
lethal dose,घातक मात्रा
lethal gene,घातक जीन
level terrace,समतल वेदिका
lichen,"लाइकेन, शैवाक"
life cycle,जीवन-चक्र
life expectancy,जीवन प्रत्याशा
life form,जीव रूप
life history,जीवन वृत्त
life span,जीवन अवधि
lift pump,उत्थापक पंप
ligament,स्नायु
ligand,"संलग्नी, लिगेन्ड"
lignicolous,काष्ठवासी
lignification,काष्ठन
lignocellulose,लिग्नोसेलुलोस
lime,चूना
limnetic zone,सरोजीवी क्षेत्र
limnetic,सरोजीवी
limiting,"सीमांत, सीमाकारी"
limiting factor,सीमाकारी कारक
limiting nutrient,सीमांत पोषक
limiting resource,सीमांत संसाधन
limits of tolerance,1. सह्यता सीमा 2. सहन सीमा
limnologist,"सरोविज्ञानी, सरोविज्ञ"
limnology,सरोविज्ञान
limnophilous,तालरागी
limy sand,चूनेदार बालू
line period,रेखा आवर्त काल
line source,रेखा स्रोत
line transect,पंक्ति अनुकाट
linear,रैखिक
lining,आस्तर
linkage,1. बंध 2. सहलग्नता
linked gene,सहलग्न जीन
lipolysis,वसापघटन
liquefaction,"द्रवण, द्रावण"
liquefied petroleum gas (LPG),द्रवित पेट्रोलियम गैस
liquid waste,द्रव अपशिष्ट
lithosere,शैलक्रमक
lithosphere,स्थलमंडल
litter,करकट
littering,करकट बनना
livestock,पशुधन
lixiviation,निक्षालन
load treatment,भार उपचार
loading,भारण
loam,दुमट
lobe,पालि
local stability,स्थानिक स्थायित्व
locality,1. अवस्थिति 2. इलाका
localization,स्थानीकरण
logarthmic growth,लघुगणकीय वृद्धि
long day plant,दीर्घ प्रदीप्ति पादप
longevity,1. आयुकाल 2. दीर्घ आयु
longitude,1. रेखांश 2. देशांतर
longitudinal,अनुदैर्ध्य
looping,विपाशन
loss rate,हवास दर
loudness contour,प्रबलता परिरेखा
lower explosive limit,निम्न विस्फोटक सीमा
lubricant,"स्नेहक, लुब्रिकेन्ट"
lubrication,स्नेहन
luminescence,संदीप्ति
lunar periodicity,चांद्र आवर्तिता
lunar tide,चांद्र ज्वार-भाटा
lymphatic,लसीका-लसीकात्मक
lysis,1. लयन 2. अपघटन
lysozyme,लाइसोजाइम
maceration,मसृणन
Mach number,माख संख्या
macro,"स्थूल, दीर्घ, महा, विस्तृत, बृहत्‌, अधि"
macroclimate,विस्तृत क्षेत्रीय जलवायु
macrofauna,स्थूलप्राणिजात
macrogeography,विस्तृत क्षेत्रीय भूगोल
macromolecule,स्थूल अणु
macronutrient,स्थूल पोषक
macroorganism,बृहत्‌ जीव
macroparasite,बृहत्‌ परजीव
macrophagous,महाभक्षी
macrophyte,बृहत्‌ जलीय पादप
macropore,दीर्घ रंध्र
macroscopic,स्थूलदर्शी
macrospecies,बृहत्‌ जाति
macrotherm,अधितापी
magma,मैग्मा
magnetic field,चुंबकीय क्षेत्र
magnetosphere,चुंबक-मंडल
magnification,आवर्धन
maintenance,1. अनुरक्षण 2. संधारण
makeup carbon,पूरक कार्बन
malathion,मैलेथियॉन
malignant,दुर्दम
malnourishment,कुपोषण
malt,माल्ट
Malthusian theory,माल्थसी सिद्धांत
mammal,स्तनधारी
mangrove,"गरान, मैंग्रोव"
mangrove swamp,"मैंग्रोव अनूप, गरान अनूप"
manifold,बहुमुख
manifold vacuum,बहुमुख निर्वात
manometer,दाबांतरमापी
manpower,जनशक्ति
manual,हस्तचालित
marginal,उपांत
marginal cost,उपांत लागत
marginal land,उपांत भूमि
mariculture,"जल-कृषि, समुद्री सस्य"
marine pollution,समुद्री प्रदूषण
marine resources,समुद्री संसाधन
maritime vegetation,समुद्रतटीय वनस्पति
marsh,कच्छ
marshy soil,कच्छ मृदा
massive structure,बृहत्‌ संरचना
mating system,संगम पद्धति
matter,द्रव्य
maturation,परिपक्वन
maturing,परिपक्वन
maximum allowable concentration,अधिकतम अनुमेय सांद्रण
maximum available water,अधिकतम उपलब्ध जल
maximum emission concentration,अधिकतम उत्सर्जन सांद्रण
maximum flow line,अधिकतम प्रवाह रेखा
maximum permissible concentration,1. अधिकतम अनुमेय सांद्रण   2. अधिकतम अनुमेय सकेंद्रण
maximum sustained annual yield,अधिकतम संधारित वार्षिक प्राप्ति
maximum tolerance level,"अधिकतम सहनशीलता स्तर, अधिकतम सह्यता स्तर"
maximum water holding capaicty,अधिकतम जलधारण क्षमता
meadow,"शाद्वल, घासस्थल"
mean annual rainfall,माध्य वार्षिक वर्षण
mean annual temperature,माध्य वार्षिक तापमान
mean tidal range,माध्य ज्वारीय परास
meander length,विसर्प मेखला
meandering,विसर्पण
mechanical efficiency,यांत्रिक दक्षता
mechancial flocculation,यांत्रिक ऊर्णन
mechanical tissue,यांत्रिक ऊतक
mechanical turbulence,यांत्रिक प्रक्षोभ
mechanical control,यांत्रिक नियंत्रण
medial temperature,माध्य ताप
median tolerance,माध्य सह्यता
medium,1. माध्यम 2. मध्यम
medulla,1. मध्यांश 2. मज्जा
megafauna,महाप्राणिजात
megaflora,महावनस्पतिजात
megalopolis,"महानगरी, मेगालोपोलिस"
megaphyll,"गुरुपर्ण, बृहत्पर्ण"
megatherm,गुरुतापी
meiosis,अर्धसूत्रण
meiotic drive,अर्धसूत्री समावेशन
melanin,मेलानिन
melanism,"अतिकृष्णता, मेलानिनता"
meltdown,अवगलन
membrane,झिल्ली
membrane filtration,झिल्ली निस्यंदन
Mendelian genetics,मेन्डेलीय आनुवंशिकी
mercury,"पारा, पारद"
meristem,"विभज्योतक, मेरिस्टेम"
mesic,"मेसिक, आर्द्र"
mesoecology,मध्यपारिस्थितिकी
mesophyll,पर्णमध्योतक
mesosphere,मध्यमंडल
mesothamnion,मध्यसरोवर-स्तर
mesotherm,मध्यतापी
mesotrophic,मध्यपोषी
Mesozoic,मध्यजीवी
metabiosis,अनुजीविता
metabolic water,उपापचयी जल
metabolism,उपापचय
metamorphic,"कायांतरी, कायांतरित"
metamorphism,कायांतरण
metaphase,मध्यावस्था
metaplasm,अजीवद्रव्य
metastasis,अपररूपांतरण
meteorograph,मौसम लेखी
meteorology,मौसम विज्ञान
method of data collection,आंकडा संग्रहण विधि
method of impact analysis,प्रभाव विश्लेषण विधि
micro,सूक्ष्म
microbe,1. सूक्ष्मजीव 2. रोगाणु
microbenthos,सूक्ष्मनितलक
microbial film,सूक्ष्मजैविक फिल्म
microbiology,"सूक्ष्मजैविकी, सूक्ष्मजीवविज्ञान"
microclimate,सूक्ष्मक्षेत्रीय जलवायु
microcosm,सूक्ष्मजगत्‌
microcommunity,सूक्ष्मसमुदाय
microenvironment,सूक्ष्मपर्यावरण
microfauna,सृक्ष्मप्राणिजात
microflora,सृक्ष्म वनस्पतिजात
microfossil,सूक्ष्मजीवाश्म
micrometeorology,सूक्ष्ममौसमविज्ञान
micronutrient,सूक्ष्मपोषक
microorganism,सृक्ष्मजीव
micropedology,सूक्ष्ममृदाविज्ञान
microphyll,लघुपर्ण
microphytic community,माइक्रोफाइट समुदाय
micropollutant,सूक्ष्मप्रदूषक
micropore,सृक्ष्मरंध्र
microscopic,"सूक्ष्म, सृक्ष्मदर्शीय"
microsere,सूक्ष्मक्रमक
microspecies,सूक्ष्मजाति
microsymbiont,सूक्ष्मसहजीवी
microtherm,न्यूनतापी
microthermophilous,न्यूनतापरागी
middens,जैव मृदा
midseral community,मध्यक्रमिक समुदाय
migrant,प्रवासी
migration,1. प्रवास 2. अभिगमन
milieu,"वातावरण, परिस्थिति"
milled refuse,कर्तित कचरा
milling,पेषण
mimicry,अनुहरण
minimata disease,मिनिमाता रोग
mineral,खनिज
mineral cycle,खनिज चक्र
mineral deficiency,खनिज न्यूनता
mineral element,खनिज तत्व
mineral matter,खनिज द्रव्य
mineral resource,खनिज संसाधन
mineral soil,खनिज मृदा
mineral water,खनिज जल
mineralised sludge,खनिजीभूत आपंक
mineralization,"खनिजीयन, खनिजन"
minimal area,अल्पतम क्षेत्र
mimimum effective temperature,न्यूनतम प्रभावी ताप
minimum lethal dose,न्यूनतम घातक मात्रा
mining waste,खनन अपशिष्ट
minor element,अप्रधान तत्व
minor forest product,गौण वन उत्पाद
mire,"मायर, कीचड़"
miscible,मिश्रणीय
mist,कुहासा
mitigation,न्यूनीकरण
mitosis,"सूत्री-विभाजन, समसूत्रण"
mitotic ,समसूत्री
mitotic,समसूत्री
mixed farming,मिश्रित कृषि
mixed forest,मिश्रित वन
mixed sludge,मिश्रित आपंक
mobile source,गतिशील स्रोत
modelling ,प्रतिरूपण
modelling,प्रतिरूपण
moisture,नमी
moisture content,1. नमी की मात्रा 2. नमी अंश
moisture percentage,नमी प्रतिशत
molecule,अणु
money crop (cash crop),नकदी फसल
monitoring,"मॉनीटरन, मॉनीटर करना"
monitoring system,मॉनीटरन पद्धति
monocarpic,1. सकृत्फली 2. एक-कार्पोगोनियमी
monoclimax theory,एकचरम सिद्धांत
monoclinous,उभयलिंगी
monocropping,एकसस्यन
monoculture,"एकधान्यकृषि, एकलकृषि"
monoecious,उभयलिंगाश्रयी
monohybrid,एकसंकर
monomer,एकलक
monomictic lake,एकघटकी सरोवर
monomorphic,एकरूपी
monophagous,एकाहारी
monotopic,एकक्षेत्री
monsoon,मानसून
monsoon forest,मानसून वन
moorland,मूरभूमि
mor,"मॉर, अनुर्वर अम्लमृदा"
moraine,हिमोढ़
morbidity rate,अस्वस्थता दर
morphactin,मॉर्फेक्टिन
morphology,"आकृतिविज्ञान, आकारिको"
mortality rate,मृत्यु दर
mosaic,किर्मीर
morphology,"आकृतिविज्ञान, आकारिको"
mountain climate,पर्वतीय जलवायु
mountain meadow,"बांगर, पर्वत शाद्वल"
moisture content,1. नमी की मात्रा 2. नमी अंश
mountain series,पर्वत श्रेणी
movable dam,चल बांध
mucus (mucous),श्लेष्मा
mud flat,पंक मैदान
mulch,"मल्च, पलवार"
multiparasitism,बहुपरजीविता
multiple cropping,"बहुसस्यन, बहुसस्योत्पादन"
multiple cross,बहुप्रसंकर
multiple point source,बहुबिंदु स्रोत
multiple resistance,बहुप्रतिरोध
multiple use,बहु उपयोग
multiporous,बहुछिद्री
municipal solid waste,म्यूनिसिपल ठोस अपशिष्ट
mutagen,उत्परिवर्तजन
mutation,उत्परिवर्तन
mutualism,सहोपकारिता
mycelia,"माइसीलिया, कवकजाल"
mycology,कवकविज्ञान
mycorrhiza,"कवकमूल, माइकोराइजा"
myrmecophily,1. पिपीलिकारागिता 2. पिपीलिकापरागण
myxotrophic,मिश्रपोषी
myxotrophy,मिश्रपोषिता
nano gram,नैनोग्राम
natality,जन्मदर
National Eco-Development Board,राष्ट्रीय पारिस्थितिक विकास बोर्ड
National Environment Policy Act,राष्ट्रीय पर्यावरण नीति अधिनियम
National Institute of Hydrology,राष्ट्रीय जल विज्ञान संस्थान
national park,"राष्ट्रीय पाक, राष्ट्रीय उद्यान"
national sanctuary,राष्ट्रीय अभयारण्य
National Wasteland Development Board,राष्ट्रीय व्यर्थभूमि विकास बोर्ड
native,"प्राकृत, प्राकृतिक"
natural area,प्राकृतिक क्षेत्र
natural calamity,प्राकृतिक विपदा
natural catastrophe,प्राकृतिक प्रलय
natural community,प्राकृतिक समुदाय
natural disaster,प्राकृतिक विपदा
natural environment,प्राकृतिक पर्यावरण
natural gas,प्राकृतिक गैस
natural pasture,प्राकृतिक चरागाह
natural pollutant,प्राकृतिक प्रदूषक
natural purification,प्राकृतिक शोधन
natural regeneration,प्राकृतिक पुनर्जनन
natural reserve,प्राकृतिक निचय
natural resource,प्राकृतिक संसाधन
natural sanctuary,प्राकृतिक अभयारण्य
natural selection,प्राकृतिक वरण
naturalization,देशीयकरण
nature reserve,प्राकृतिक निचय
nautical mile,समुद्री मील
necrophagous,मृतभक्षी
necrosis,ऊतकक्षय
nectar,"मकरंद, नेक्टर"
needle forest (coniferous forest),सूची वन (शंकुधारी वन)
negative phototropism,ऋणात्मक प्रकाशानुवर्तन
neighbourhood noise,सामीप्य रव
movable dam,चल बांध
nemoralis,वनवासी
nemus,खुला वनस्थल
net assimilation rate,नेट स्वांगीकरण दर
net primary production,नेट प्राथमिक उत्पादन
neurotoxin,"तंत्रिआविष, तंत्रिकाविष"
neutralisation,उदासीनीकरण
niche,1. निकेत 2. कर्मता
nidality,नीडता
nidation,पुनर्रोपण
night soil,मल
nitrification,नाइट्रीकरण
nitrobacteria,नाइट्रोजीवाणु
nitrogen assimilation,नाइट्रोजन स्वांगीकरण
itrogen deficiency,नाइट्रोजन न्यूनता
nitrogen excess,नाइट्रोजन आधिक्य
nitrogen fixation,नाइट्रोजन यौगिकीकरण
nitrogen-fixing bacteria,नाइट्रोजन यौगिकीकारक जीवाणु
nitrogen-fixing plant,नाइट्रोजन यौगिकीकारक पादप
nitrogen removal,नाइट्रोजन निष्कासन
nivation,हिम अपरदन
node,"1. आसंधि, नोड 2. पर्वसंधि, गांठ 3. पात 4. निर्नति 5. निस्पंद्‌"
nodule,ग्रंथिका
noise,रव
noise level,रव (प्रबलता) स्तर
noise pollution,रव प्रदूषण (ध्वनि प्रदूषण)
nomad,खानाबदोश
non-biodegradable,अजैवनिम्नीकरणीय
non-conventional energy,अपारंपरिक ऊर्जा
non-renewable resource,अनवीकरणीय संसाधन
non-use value,अनुपयोग मान
non-persistent,अदीर्घस्थायी
non-point (pollution) source,अनियत (प्रदूषण) स्रोत
nosogenic,रोगोत्पादक
notching,खांचन
noxious gas,अनिष्टकर गैस
nuclear energy,नाभिकीय ऊर्जा
nuclear fission,नाभिकीय विखंडन
nuclear fusion,नाभिकीय संलयन
nuclear radiation,नाभिकीय विकिरण
nuclear reactor,नाभिकीय रिऐक्टर
nuclear waste,नाभिकीय अपशिष्ट
nuclear waste management,नाभिकीय अपशिष्ट प्रबंधन
nuclear waste pollution,नाभिकीय अपशिष्ट प्रदूषण
nucleus,"1. नाभिक, 2. केंद्र"
nudation,अनाच्छादन
nursery,"रोपणी, नर्सरी"
nutrient,पोषक
nutrient cycle,पोषक चक्र
nutrient enrichment,पोषक संवर्धन
nutrient loss,पोषक हानि
nutrient toxicity,पोषक आविषालुता
nutrition,पोषण
oasis,"नखलिस्तान, मरू-उद्यान"
obiligate parasite,अविकल्पी परजीवी
observatory,वेधशाल
ocean,महासागर
ocean dumping,महासागर सन्निक्षेपण
ocean tide,महासागर ज्वार-भाटा
oceanography,समुद्र विज्ञान
odometer,पथमापी
odour,गंध
offensive industry,अरुचिकर उद्योग
off-season crop,असमय फसल
off-shore,अपतट
off year,अपनवर्ष
oil fuel,तेल ईंधन
oil pollution,तेल प्रदूषण
Oil Producing and Exporting Countries (OPEC),तेल उत्पादक एवं निर्यातक देश (ओ.पी.ई.सी.)
oil refinery effluent,तेल शोधनी बहि:स्राव
oil shale,तेलमय शेल
oil spill,तेल अधिप्लाव
omnivorous,"सर्वाहारी, सर्वभक्षी"
on site effect,यथास्थान प्रभाव
oncogenic,अर्बुदीय
oncology,अर्बुदविज्ञान
one run process,एक पारण प्रक्रम
one-sided test,एकपक्षीय परीक्षण
onshore current,अभितट धारा
oogenesis,अंडजनन
opacity,"अपारदर्शिता, अपार्यता"
open burning,खुला दहन
open cast mining,विवृत खनन
open community,मुक्त समुदाय
open drain,खुला नाला
open range,"खुला चरागाह, विवृत चरागाह"
open system,विवृत तंत्र
open woodland,"खुला वन, खुली वनस्थली"
operation,प्रचालन
operational waste,प्रचालनिक अपशिष्ट
optimal area,इष्टतम क्षेत्र
optimal capacity,इष्टतम क्षमता
optimum condition,इष्टतम दशा
optimum population,इष्टतम आबादी
optimum sustainable population (OSP),इष्टतम संधारणीय जनसंख्या (ओ.एस.पी. )
optimum yield,इष्टतम उपज
orchard,फलोद्यान
ore deposit,अयस्क निक्षेप
organic compound,कार्बनिक यौगिक
organic deposit,जैव निक्षेप
organic farming,जैव कृषि
organic manure,जैव खाद
organic sedimentary rock,जैव अवसादी शैल
organic soil,जैव मृदा
organism,जीव
organophosphate insecticide,कार्बफॉस्फेट कीटनाशी
orientation response,अभिविन्यास अनुक्रिया
ornamental tree,"सजावटी वृक्ष, शोभाकारी वृक्ष"
omnithophilous,1. पक्षिरागी 2. पक्षिपरागित
osmo-regulation,परासरण-नियमन
osmosis,परासरण
out-let,निर्गम
output,1. उत्पादन 2. निर्गम
overburden,उपरिभार
overconcentration,अतिसांद्रण
overexploitation,अतिदोहन
overgrazing,अतिचारण
overlapping,अतिव्यापन
overreproduction,अति-पुनरुत्पादन
oxidation,ऑक्सीकरण
oxygenation,ऑक्सीजनन
Oxysere,अम्ल-क्रमक
ozonation,"ओजोनन, ओजोनीकरण"
ozone depleting potential,ओजोन अवक्षयी क्षमता
ozone depletion,"ओजान ह्रास, ओजोन अवक्षय"
ozone hole,ओजोन छिद्र
ozone shield,ओजोन परिरक्षक
packaged sewage treatment plant,पैकेजयुक्त वाहितमल उपचार संयंत्र
paedogenesis,शावकोजनन
pairing,"युगलन, युग्मन"
palaeoclimatology,पुराजलवायु विज्ञान
palaeontology,"जीवाश्मविज्ञान, जीवाश्मिको"
palaeoecology,पुरापारिस्थितिकी
palacozoology , 1. फॉसिल प्राणिविज्ञान 2. पुरा प्राणिविज्ञान
Paleocene,"पुरानूतन, पेलियोसीन"
Paleozoic,पुराजीवी
paludal,कच्छीय
palustrine,कच्छीय
palynology,परागाणुविज्ञान
pampas,पैम्पस
pandemic,सर्वव्यापी
pantophagous,सर्वभक्षी
paper and pulp manufacturing waste,कागज और लुगदी निर्माण अपशिष्ट
parabiosis,1. पराजीविता 2. संयुक्तजीवन
parabiosphere,पराजीवमंडल
parabiotic,1. पराजीवी 2. संयुक्तजीवी
parameter,प्राचल
paramutualism,परासहोपकारिता
parasite,परजीवी
parasitism,परजीविता
paratonic,अनुप्रेरित
paratrophic,परापोषी
parent material,जनक सामग्री
parent rock,1. जनक शैल 2. जनक चट्टान
parthenocarpy,अनिषेकफलन
parthenogenesis,अनिषेकजनन
partial correlation,आंशिक सहसंबंध
particle,कण
particle detector,कण संसूचक
particulate,"कणिक, कणिकोय"
particulate collector,कणिकीय संग्राहक
particulate loading,कणिकीय भारण
particulate pollutant,कणिकिय प्रदूषक
parts per billion (ppb),प्रति एक अरब भाग
parts per million (ppm),प्रति दस लाख भाग
pascuum,चरागाह
pasteurization,पास्तेरीकरण
pasture,चरागाह
patacole,मलवासी
pathogen,"रोगजनक, रोगाणु"
pathogenic,रोगजनक
pattern,"प्रतिरूप, पैटर्न"
peak concentration,चरम सांद्रता
peat bog,पीट दलदल
pebble,1. गुटिका 2. रोड़ी
pedigree selection,वंशावली वरण
pedogenesis,मृदाजनन
pedology,मृदाविज्ञान
pedon,पेडॉन
pedosphere,मृदामंडल
pelagic,वबेलापवर्ती
pelagic deposit,अंबुधी निक्षेप
pelletized industrial fuel,गुटिकायित औद्योगिक ईंधन
pelletizer,गुटिकायित्र
pennsylvanian,पेन्सिल्वानियाई
penetrometer,वेधमापी
per capita demand,प्रतिव्यक्ति मांग
percentile,शतमक
percolation,अंतःस्रवण
perennate,चिरकालिक
perennation,चिरकालिकता
perennial,बहुवर्षीय
perfect succession,पूर्ण अनुक्रमण
periglacial,परिहिमनदीय
periodic,आवर्ती
periodicity,आवर्तिता
periphyte,परिपादप
periphyton,1. परिपादपजीव 2. परिपादप
permafrost (land),स्थायी तुषार भूमि
permanent Snowcover,स्थायी हिम-आवरण
permanent wind,सदावाही पवन
permeability,पारगम्यता
permeability coefficient,पारगम्यता गुणांक
permeable,पारगम्य
permeameter,"रिसाव मापी, पारगम्यता मापी"
permissible dose,अनुमेय मात्रा
permobile,अतिचल
peroxy acetyl nitrate (PAN),परऑक्सीऐसीटिल नाइट्रेट
perpetual,शाश्वत
persistence,दीर्घस्थायित्व
persistent,दीर्घस्थायी
persistent pesticide,दीर्घस्थायी पीड़कनाशी
pervious soil,प्रवेश्य मृदा
pest,पीडक
pesticide,पीडकनाशी
pesticide tolerance,पीड़कनाशी सहयता
pesticide residue,पीड़कनाशी अवशिष्ट
petric,शैलीय
petrification,अश्मन
petrochemical,शैलरसायन
petroculture,1. पेट्रो संवर्धन 2. ईंधनकृषि
petroleum,पेट्रोलियम
pH,पीएच
phagotroph,भक्षपोषी
phanerogam,पुष्पोद्भिद
phenology,1. घटनाविज्ञान 2. लक्षणवर्गिकी
phenotype,लक्षणप्ररूप
pheromone,फीरोमोन
phobia,भय
phonometer,ध्वनिमापी
phosgene,फॉस्जीन
phosphorescence,स्फुरदीप्ति
photic,प्रकाशी
photic region,प्रकाशी क्षेत्र
photoperiod,दीप्तिकाल
photoallergy,प्रकाशाप्रत्यूर्जता
photoautotroph,प्रकाशस्वपोषी
photobiology,प्रकाशजैविकी
photochemical reaction,प्रकाशरासायनिक अभिक्रिया
photochemical,1. प्रकाशरासायनिक 2. प्रकाशरसायन
photochemical smog,"प्रकाशरासायनिक धूमकुहा, प्रकाशरासायनिक कुहासा"
photochemistry,प्रकाश-रसायनविज्ञान
photodegradable,प्रकाशनिम्नीकरणीय
photogrammetric map,फोटोग्राममितीय मानचित्र
photolysis,प्रकाश-अपघटन
photometer,प्रकाशमापी
photometry,प्रकाशमिति
photonasty,प्रकाशानुकुचन
photoperiodic,दीप्तिकालिक
photoperiodism,दीप्तिकालिता
photreceptor,प्रकाशग्राही
photorespiration,प्रकाशश्वसन
photosynthesis,प्रकाशसंश्लेषण
photosynthetic efficiency,प्रकाशसंश्लेषी दक्षता
phototaxis,प्रकाशानुचलन
phototonic,प्रकाश-उत्तेजनशील
phototrophic,प्रकाशपोषी
photoropic,प्रकाशानुवर्ती
phototropism,प्रकाशानुवर्तन
phreatic zone,अधोभौमजल मंडल
phreatophyte,अधोभौमजल पादप
phycosphere,शैवालमंडल
phyllosphere,पर्णमंडल
phyllotaxis,पर्णविन्यास
phylogeny,जातिवृत्त
physical analysis,भौतिक विश्लेषण
physical barrier,भौतिकीय रोध
phytoplankton,पादपप्लवक
phytotoxicant,पादप-आविषाक्त
pisciculture,1. मत्स्यपालन 2.मत्स्यसंवर्धन
pitch,1. पिच 2. डामर 3. तारत्व (ध्वनि) 4. अक्षनति
plankton,प्लवक
plantation,पौधारापण
plasticity,सुघट्यता
pleophagous,1. अनेकभक्षी 2. बहुपरपोषी
pneumatophore,1. श्वसन-मूल 2. वातपुटीधर
podsol,पॉडसॉल
point (pollution) source,"नियत स्रोत, बिंदु (प्रदूषण) स्रोत"
poison,"विष, जहर"
pollutant,प्रदूषक
pollution,प्रदूषण
pollution load,प्रदूषण भार
pollution permit,प्रदूषण अनुमति
polyclimax,बहुचरम
polymorphism,बहुरूपता
polythene,पॉलिथीन
polyvinyle chloride (PVC),पॉलिविनाइल क्लोराइड
pond,ताल
population,1. जनसंख्या 2. समष्टि
population boom,जनसंख्या सहसावृद्धि
population density,1. जनसंख्या घनत्व 2. समष्टि घनत्व
population dynamics,1. समष्टि गतिकी 2. जनसंख्या गतिकी
population ecology,समष्टि पारिस्थितिकी
potential energy,स्थितिज ऊर्जा
power plant,विद्युत्‌ संयंत्र
precipitant,अवक्षेपक
precipitate,अवक्षेप
precipitation,1. अवक्षेपण 2. वर्षण
precipitator,अवक्षेपित्र
precursor,"पूर्वगामी, पूर्ववर्ती"
predation,परभक्षण
predator,परभक्षी
preservation,परिरक्षण
pretreatment,पूर्वोपचार
primary consumer,प्राथमिक उपभोक्ता
primary effluent,प्राथमिक बहि:स्राव
primary pollutant,प्राथमिक प्रदूषक
primary production,प्राथमिक उत्पादन
primary standard,प्राथमिक मानक
primary succession,प्राथमिक अनुक्रमण
primary treatment,प्राथमिक उपचार
prime agricultural land,प्रमुख कृषि भूमि
probability,प्रायिकता
produce,उत्पाद
producer,उत्पादक
productivity,उत्पादकता
profoundal zone,गभीर अंचल
prokaryote,प्राक्केंद्रक
protection,रक्षण
protection against loss,हानि रक्षण
public participation,जन सहभागिता
purification index,शोधन सूचकांक
putrefaction,"पूयन, सड्न"
pyrometer,उत्तापमापी
quench tank,शमन टंकी
qualitative analysis,गुणात्मक विश्लेषण
quantitative analysis,मात्रात्मक विश्लेषण
quality control,"गुणता नियंत्रण, गुणात्मक नियंत्रण"
quarry blasting,खदान विस्फोटन
