English,Hindi,Definition
"fit, wringing (zero to negative allowance)",ससंजन फिट (शून्य से ऋृणात्मक छूट),इस प्रकार की फिट में समन्वायोजन में मेलक अवयवों की पृष्टं एक दूसरे से सही रहती है। प्राय: यह असैम्बली विशिष्ट होती है और अंतर्विनियम नहीं है।
Fixture,स्थायिक/फिकचर,फिकचर/स्थायिक का कार्य मशीनित किये जाने वाले अनेक प्रकार के कृत्यों को मशीन मंच पर बांधे रखना है उसका औजार पर कोई नियंत्रण नहीं। आजकल इसे जिंक के स्थान पर इस्तेमाल करने लगे हैं। स्थायिक को मशीन मंच पर बांधा जाता है जबकि जिंक को हाथ से पकड़ा जा सकता है और इच्छानुसार चलाया भी जा सकता है।
Flame cutting,ज्वाला कर्तन,ज्वाला कर्तन में आक्सी-ऐसिटीलीन टॉर्च के द्वारा लोह धातुओं का कर्तन किया जाता है। इसमें काट की प्रारम्भिक अवस्था में दोनों गैसों का प्रयोग किया जाता है लेकिन प्रारम्भिकं काट के बाद एसिटिलीन की सप्लाई बंद कर दी जाती है तथा केवल आक्सीजन की सप्लाई रहने दी जाती है। 12” या और अधिक गहराई के कर्तन में जलन से धातु का हास बहुत कम हो पातता है क्योंकि काट चौड़ाई 6” गहराई के काट पर अधिक से अधिक 3” रहती है।
Flame hardening,ज्वाला कठोरीकरण,यह एक स्थानिक कठोरीकरण की विधि है इसमें कठोरित किये जाने वाले अवयव को आक्सी एसिटीलीन टार्च द्वारा गर्म करके शीतक माध्यम में मज्जशीतित किया जाता है।
Flange,फ्लैंज,"“पर्शुका या रिम, जिसकी सहायता से दो वस्तुए बांधी जाती है ।"
Flank,पार्श्व,अन्तराल वृत के नीचे वाली दन्त की पृष्ठ को पार्श्व कहते हैं।
Flash,अतिरेक,डाई ढलाई या फोर्जन-संक्रियाओं में डाईयों के मध्य फालतू धातु बलात्‌ बाहर निकल आती है इस फालतू धातु को (अतिरेक) कहते है।
Flash Point,स्फुरांक,स्नेहक तेल का स्फुरांक स्नेहित की जाने वाली पृष्ठ के तापक्रम से काफी कम होना चाहिए ।
Flask,सांचा पेटी/ फ्लास्क,यह लकड़ी या धातु का बना एक फ्रेम होता है। इसमें ढलाई से पूर्व पैटर्न और बालू रेत की सहायता से सांचा तैयार किया जाता है। पेैंटर्न के अनुसार इसे दो या दो से अधिक हिस्सों में बनाया जाता है उपरि हिस्से को उदर्ध नीचे के हिस्से को अधर्य तथा किसी भी मध्य हिस्से को मध्यर्थ/चीक कहते है।
"Flask, snap",स्रैप सांचापेटी/ फ्लास्क,इस प्रकार के फ्लास्क छोटे आकार में बनाये जाते है तथा इसकी पार्श्बी को चटकनी द्वारा बांधा जाता है। इनका उपयोग ढलाईशाला में लघु ढलाई के लिये किया जाता है।
Flat forging,सपाट फोर्जन,चपटी डाइयों द्वारा की गई फोर्जित वस्तुएं।
Flatter,चिपिटक,"लोह-शाला में प्रयुक्त होने वाला औजार, जिसमें एक चौड़ा सपाट फलक लगा होता है इस सपाट फलक को कार्य पर रखकर उसके ऊपर घन-हथौड़े का प्रहार करके कार्य की पृष्ठ को स्पाट एवं चिकना किया जाता है।"
Flinger,फिलंजर,"कॉलर के आकार की एक युक्ति, जो बियरिंग धारक और ग्लैंड अनुगामी के मध्य शाफ्ट पर बंधा होता है। यह तरल को बियरिग-धारक में प्रवेश करने से रोकता है।"
Floor moulding,धरातल संचकन,धरातल पर सांचा बनाने की विधि। इस विधि का इस्तेमाल बड़ी बड़ी ढलाई के लिये किया जाता है।
Flue,धूम्रपथ/फ्लू,"गर्म हवा या धूम्र को ले जाने वाली नली, चिमनी या धूम्रपथ ।"
Fluid,तरल,"जिस पदार्थ का प्रवाह हो सकता है उसे तरल कहते हैं। तरल पदार्थ स्वयं कोई आकृति धारण नहीं कर सकता है, बल्कि जिस पात्र अथवा स्थान में रखा जाये उसी की आकृति धारण कर लेता है ।"
Fluid Mechanics,तरल-यांत्रिकी,इंजीनियरी की वह शाखा जिसके अंतर्गत द्रव और गैसों के स्थिति विज्ञान तथा गति-विज्ञान का अध्ययन किया जाता है।
Fluid Pressure,तरल-दाब,तरल पदार्थ द्वारा पृष्ठ पर लगे अभिलम्ब बल को तरल का दाब कहते हैं। यदि पृष्ठ वक्र है तो किसी बिन्दु पर तरल का दाब उस बिन्दु पर पृष्ठ के समकोण पर होगा ।
Fluted reamer,अधिछिद्रक/रीमर,"एक प्रकार का रीमर, जिसमें लम्बाई की दिशा में नलियां कटी होती हैं। यह अपने पार्श्व से काटता है।"
Flux,गालक,"यह पदार्थ या मिश्रण होता है जैसे आल्कली, बोरेक्स, चूना फ्लोराइट आदि, इसका उपयोग धातुओं या खनिजों के गलन में किया जाता हैं । इसके मिश्रण से गलन प्रक्रिया तेज हो जाती है ।"
Follow board,प्रतिरुपधारी पटल,यह संचक पटल होता है इसमें खाँचा इस प्रकार बनाया जाता है ताकि पेन इस खाँचे में आ जाये और पटल विभक्त रेखा पर रहे। इस पटल के इस्तेमाल करने पर बालू-पृथकन की आवश्यकता नहीं रह जाती ।
follower rest,अनुगामी टेक,"खराद कार्य के लिये टेक, जो खगद-काठी पर बंधी होती है तथा कर्तन औजार के पीछे या सामने रहती है ताकि कर्तन जार के द्राव से कार्य प्रेंखित न हो सके ।"
Foot valve,फुट वालव,पम्प में छन्ने के ऊपर एक फुट वाल्व लगा होता है जिसके कारण चूषण नल पम्प के रुक जाने पर भी जल से भरा रहता है तथा पम्प को पुन: प्रारम्भ करने पर प्राइमन की आवश्यकता नहीं पड़ती ।
Forced draught,प्रणोदित प्रवात,इसमें दबाव भट्टी तथा चिमनी में वायुमण्डल से अधिक होता है।
Force pump,बल पम्प,वह पम्प जो जल को पिस्टन या मज्जक के दाब के द्वारा उठाते है ।
Forebay,अग्रतल,यदि जल विद्युत-संयंत्र से शक्ति संयंत्र कुछ दूरी पर बनाना पड़े तो पहले पानी को किसी दूसरे लघु जलाशय में ले जाना पड़ता है जिसे अग्रतल कहते हैं।
Forge,फोर्ज/ भट्टी,"(1) खुली भट्टी, जिसमें फोर्जन के लिये धातु को गर्म किया जाता है। भट्टी को प्रज्वलित करने के लिये प्रणोदित प्रवात का इस्तेमाल करते है। कुछ मामलों में, सम्पूर्ण फोर्जन संयत्र को ही फोर्ज कहते है।
(2) कारखाना, जहाँ पर पलटित छड़ों का वेल्लन किया जाता है ।"
Forging heat,फोर्जन ऊष्मा,"वह तापक्रम, जिस पर फोर्जित की जाने वाली धातु को गर्म किया जाता है। यह तापक्रम धातु के अनुसार अलग अलग होता है। एक भारी आटोमोबील संयत्र में निम्न कार्बन इस्पात के लिये 2250° “एफ से 2400° एफ तक तापक्रम रखना उपयुक्त रहता है। कुछेक 3 मिनट/इंच व्यास या मोटाई को निम्नतम समय ठीक मानते हैं जबकि अन्य अपेक्षाकृत धोमी दर पसंद करने हैं। एक प्रतिशत से अधिक कार्बन-इस्पात का पूर्व-तापन ठीक रहता है। इसे 1300° एफ से 1400° तापक्रम तक शोखा जाता है, फिर फोर्जन तापक्रम प्राप्त करने के लिए
द्रुत गति से गर्म किया जाता है।"
Forging machine,फोर्जन मशीन,इस मशीन द्वारा अपेक्षित रूप प्राप्ति के लिये धातु को डाईयों में फोर्जित किया जाता है। इसमें धातु का रूप प्रदान करने के लिये स्थिर दाब का प्रयोग किया जाता है तथा धन-प्रहार का इस्तेमाल नहीं होता है।
Forgings,फोर्जन,"अपेक्षित रूप प्रदान करने तथा गुणता बढ़ाने के लिये दाब या धन-प्रहार द्वारा फोर्जित धातु-सामग्री । फोर्जन की अनेक विधिया हैं जैसे स्थूलन, वेल्लन, स्वरेजन जिन्हें विभिन्न प्रकार की मशीनों द्वारा किया जाता है।"
"Forgings, upset",अपसेट फोर्जन,"दाब की सहायता से छड़ के सिरों को स्थूलित करके तेयार की गई फोर्जन, ठीक उसी प्रकार जैसे रिपट-शीर्ष का निर्माण करने के लिए रिपट के सिरे को स्थूलित किया जाता है।"
Form grinding,प्ररुप अपघर्षण,प्ररुप-अपघर्षण अपघर्षी-पहिये द्वारा किया जाता है। अपघर्षी पहिये के फलक का रूप अपेक्षित कार्य के परिक्ष्ठेद के अनुरुप बना होता है आजकल चूड़ी-अपघर्षण अनुरूप-अपघर्णी पहियों द्वारा की जाती है।
Form turning,प्ररूप खरादन,अपेक्षित रूपरेखा के अनुसार प्ररुपित औजार द्वारा विशेष आकृति खरादने का प्रक्रम। औजार गोल या चपटा भी हो सकता है जिसमें परिच्छेद कटा होता है ताकि कर्तन धार उपलब्ध हो सके। प्ररुपित औजार कार्य के एक या दोनों और उपयोग में लाये जा सकते है तथा उन्हें केन्द्र की और प्रभारित किया जाता है। ऐसा त्रिज्य दिशा में काटने वाले औजारों के साथ होता हैं। प्ररुपण ऐसे ओजारों की सहायता से भी किया जा सक्ता है जो अक्षीय दिशा में काटते हैं तथा कार्य के ऊपर से गुजरते हैं ।
Foundation bolt,नींव काबला,वह काबला जिनका उपयोग मशीनरी या संरचनात्मक हिस्सों को उस नींव के साथ मजबूती से बांधने में किया जाता है जिस पर वे रखे जाते हैं।
Foundry shop,ढलाई शाला,"वह कार्यशाला, जहां पर पर्टन की सहायता से रेत के साँचे बनाये जाते हैं और फिर उनमें पिघली हुई धातु को डालकर विभिन्न प्रकार की ढलवाँ वस्तुयें तैयार की जाती है।"
Francis Turbine,फ्रांसिस टरबाइन,इस टरबाइन का नाम इंगलैण्ड के श्री जेम्स विशेन फ्रांसिस के नाम पर रखा गया है।
Frictional adiabatic flow,घर्षण युक्त रूदोष्म प्रवाह,"एक रूदोष्म प्रवाह, जिसमें घर्षण शून्य होता है। यह प्रवाह परिवर्ती रूदोष्म होता है । इसमें एन्ट्रॉपी हक समान रहती है ।"
Frictional damper,घर्षणी अवमंदक,"एक युक्ति, जो कंपन का घर्षण द्वारा अवमंदन करती है। सामान्यतया इसका प्रयोग क्रक शाफ्ट के ऐठनी कंपन को नियंत्रित करने के लिए किया जाता है।"
Friction gear,घर्षण-गियर,दो चक्रिकायें जिनके द्वारा शक्ति संचरण घर्षण के माध्यम से किया जाता है। इनमें दाँते नहीं बने होते हैं तथा सामान्यतया एक चक्रिका की संपर्क पृष्ठ कम होती है। इसका प्रयोग कम मात्रा की शक्ति संचरण के लिये होता है।
Frost,तुषार,"मशीनित पृष्ठ पर होने वाली सम्पूर्ति (फिनिश) की एक किस्म, जिसकी आभा तुषारण या हिम-शक्ल से मिलती है। अधिकतर इस प्रकार की फिनिश सजावट के लिये की जाती है फिर भी सपाट-पृष्टों पर तेज पकड़ रहने के लिये तुषारित पृष्ठ बनाई जाती है, जैसे खसद के पथ। इस प्रकार की फिनिश घूर्णी अपघर्षी पहिये या कपड़े से की जाती है।"
Fuel Pump,ईधन पम्प,अन्तर्दहन तंत्र में वांच्छित दाब पर ईधन देने के लिये प्रयुक्त पम्प ।
Fuel sensitivity,ईधन सुग्राह्यता,यह पेट्रोल के अपस्फोट-रोधन-प्रवृत्ति पर प्रचालन दशाओं के प्रभाव को व्यक्त करती है। इसको मोटर आक्टेन संख्या (MON) तथा रिसर्च आक्टेन संख्या (RON) के अन्तर द्वार दर्शाया जाता है।
Full annealing,पूर्ण अनीलन,क्रान्तिक ताप से ऊपर गर्म करके धीरे-धीरे ठण्डा करना ।
Fuller,फुलर,लुहार/लोहकार इस औजार का उपयोग धातु रूपण के लिये करते है। इसके दो हिस्से होते हैं एक निहाई के छिद्र में फिट कर दिया जाता है तथा दूसरे में दस्ता लगा होता है इसमें अन्दर की ओर खाँचा बना होता है जिसे गोल कार्य पंर रखकर उसके ऊपर हथौड़े का प्रहार करते हैं।
Fullering,फुलरन,किसी फोर्जित अवयव में एक विशेष प्रकार के औजार से खाँचा बनाना ।
Fultering tool,फुलरन औजार,"लोहारगिरी में खाँचेदार औजार, जिसको फोर्जन वस्तु पर रख कर पीटते हैं जिससे समतल पृष्ठ प्राप्त होता है।"
Full shroyd (gear),पूर्ण परिच्छेद (गरारी),"वह गरारी चक्र, जिसमें आवरण दाँतों के नोक तक पहुँचा रहता है ।"
Furnace,भट्टी,"बह कक्ष, जिसमें इंधन को प्रज्जबलित करके पानी गर्म किया जाता है, धातु एवं अन्य पदार्थों को गलाया जाता है, तथा अनेक प्रकार के पदार्थों को गर्म तथा पकाया जाता हे।"
"Furnace, blast",वात्या भट्टी/धमन भट्टी,"वह भट्टी, जिसमें प्रणोदित वात्या द्वारा ऊष्मा को कार्य तक एवं उसके ऊपर पहुँचाया जाता है।"
Fusible Plug,संगलनीय प्लग,संगलनीय प्लग का कार्य बॉयलर में पानी का तल एक नियत तल से कम होने पर भाप द्वारा आग बुझाना है।
Gagger,गैजर,एक लोहे का टुकड़ा जिसे बालू के सांचे में इसलिये प्रविष्ट कर देते हैं ताकि साँचा मजबूत बना रहे तथा पैटर्न को निकालते समय सांचा यथा स्थान पर बना रहे।
Galvanized Iron,जस्तेदार लोह,"लोहे की चादरें, जिन पर जिंक/जस्ते का लेप चढ़ा होता है। पिघले जस्ते के अन्दर इन चादरणें को डुबो देते हैं और इन पर जस्ते का लेप चढ़ जाता है।"
Gang Die,समूह ठप्पा,"बहु छिद्रक मशीन के लिए ठप्पा या शीर्ष पट्टिका, जिसमें बहुत से छिद्र होते है ताकि विभिन्न पंच उसमें आ सके ।"
Gang Drill,समूह बरमा,"किसी मशीन में विभिन्न बरमों का समूह, जो एक ही शाफ्ट से प्रचालित होते हैं। इसको बहु-तुर्क बरमा भी कहते हैं।"
Gang Edging Machine,समूह कोर कर्तन भशीन,"वह मशीन, जो तख्तों की चौड़ाइ ठोक करने के लिए प्रयोग होती है। इसमें दो-तीन या अधिक गोल आरी एक ही तर्कु पर एक निश्चित दूरी पर लगी होती है।"
Gang Mill,समूह आरा मशीन,"वह आरा मिल, जिसमें बुत से आरे एक साथ लगे होते हैं ताकि कई कार्य एक साथ हो सके ।"
Gang Milling,समूह भ्रमिकर्तन,एक ही स्पिंडल पर आरोपित विभिन्न भमिकर्तको का समूह जिनकी सहायता से आवश्यकतानुसार प्रोफाइल बनाये जा सकते है।
Gang mould,समूह सांचा,वहं ढलाई सांचा जिसमें एक साथ कई ढलाई की जा सकती है ।
Gang saw,आरा-पुंज,एक फ्रेम में लगे कई समान्तर ब्लेड जोकि एक साथ कार्य करते हैं ।
Gang Tool,औजार समूह,"वह औजार ग्राही, जिसमें कई कर्तक लगे होते हैं। इसका प्रयोग खराद तथा समतलित्रों में किया जाता है। प्रत्येक औजार अपने से आगे वाले औजार की अपेक्षा थोड़ा अधिक काटता है।"
Ganister,गैनिस्टर,यह एक उच्चतापसह पदार्थ है या एक प्रकार का बलुआ पत्थर है जिसका प्रयोग भट्टी में अस्तर के रुप में किया जाता है ।
Gantry Crane,गन्त्री क्रेन,मशीनरी में शिरपरि चल-क्रेन जोकि गर्डरे के सहारे चलती है। इसका प्रयोग प्रायः मशीन कार्यशाला को बनाते समय किया जाता है ।
Gases,गैस,"वे तरल पदार्थ, जिन्हें दबाया एवं प्रसारित किया जा सकता है गैस कहलाते हैं। ताप के प्रभाव का इनके आयतन व दबाव पर अत्यधिक प्रभाव पडता है।"
Gash,गैश,गरारी दांतों के निर्माण में रुक्ष-कर्तन। दो या तीन भ्रमिकर्तको की सहायता से गरारी दांतों का रुक्ष-कर्तन किया जाता है और अंतमें एकल भ्रमिकर्तक की सहायता से उनका परिष्कृत कर्तन करते है ।
Gasket,गैसकेट,"सपाट पदार्थ, जिसे सील बनाने के लिये दो फ्लैजों के बीच दबाया जाता है।"
"Gauge, boring bar cutter",प्रवेधन दण्ड कर्तक प्रमापी,यह एक प्रकार का स्थापक प्रमापी है जिसका उपयोग प्रवेधन दण्ड में कर्तकों को स्थापित (सैट) करने के लिये किया जाता है ताकि प्रवेधन-दण्ड में आरोपित कर्तकों की सहायता से सही व्यास प्रवेधित किया जा सके ।
"Gauge, Depth",गभीरता-प्रमापी,"छिद्र या गर्त की गहराई मापने का एक यंत्र। जैसा कि चित्र
￼
गभीरता प्रमा
चित्र-21
18 में दर्शाया गया है इस यंत्र को छिद्र के ऊपर आर पार रखते हैं और इसके फलक को अपेक्षित पृष्ठ के छूने तक धकेलते हैं। कृपया चित्र 21 देखें।"
"Gauge, drill",बरमा-प्रमापी,यह एक इस्पात की बनी प्लेट होती है जिसमें विभिन्न साइज के बरमों से छिद्र बने होते हैं कुछ मामले में तंग आकार के छिद्र बने होते है जिसमें उस स्थान पर साइज-संख्या अंकित रहती है तथा विभिन्न साइज के बरमें स्लाट में फिट करके देखे जाते हैं ।
"Gauge, feeler or thickness",फीलर प्रमापी,"इस प्रमापी में परिवर्ती मोटाई के अनेक फलक एक सिरे पर पिन-संधि द्वारा आरोपित रहते है जैसा चित्र 19 में दर्शाया गया है। जिन बिन्दुओं या अवयवों के मध्य की दूरी को मापना होता है उनके मध्य एक या अधिक फलकों को प्रविष्ट करके सही दूरी का पता लगा लेते है। फलक की मोटाई एक दूसरे से सामान्यतः एक इंच के हजारवेंअंश तक बदलती है विशिष्ट फीलर-प्रमापी में विशिष्ट मोटाई के फलक होते हैं जैसा कि स्फुतिलंग प्लग अन्तराल के लिए। कृपया चित्र-22 देखें ।
￼
फीलर प्रमापी
चित्र-22"
"Gauge, flush-pin",सपाट-पिन प्रमापी,इसमें एक चल-पिन लगा होता है जिस अवयव का मापन करना होता है यदि वह अवयव सही साइज का है तो उस स्थिति में इस प्रमापी का चल-पिन और मापी जा रही पृष्ठ एक तल पर रहेंगी ।
"Gauge, plug",डाट प्रमापी/प्लग प्रमापी,"प्लग-प्रमापी में वाह्य पृष्ठ, मापन-पृष्ठ होती है इसकी सहायता से छिद्र की विनिर्दिष्ट एकरुपता को जांचा जाता है। प्लग-प्रमापी सीधा या शुण्डाकार और किसी भी परिच्छेदीय आकार का हो सकता है ।"
Gauge pressure,प्रमापी दाब,जब तरल पदार्थो का दाब वायुमंडलीय दाब के सापेक्ष ऊपर अथवा नीचे मापा जाता है तो इसे प्रमापी दाब कहते है।
Gauging,घ्रमापन,"निर्मित सामग्री को मापने का एक प्रक्रम, ताकि अपेक्षित रुपरेखा और साइज की विनिर्दिष्ट एकरुपता का निश्चय हो सके ।"
"Gauge, working",कार्यकारी प्रमापी,"मशीन-अवयवों के उत्पादन में इन प्रमापियों का उपयोग किया जाता है। जब इन प्रमापियों में निरीक्षण-प्रमापियों की अपेक्षा कम सहिष्णुता होती है तब जो अवयव इन प्रमापियों की कसोटी पर ठीक उतरता है, निरीक्षण प्रमापी उसे स्वीकार कर लेते है। वैसे जिस अवयव को निरीक्षण-प्रमापी अस्वीकार कर देता है। कार्यकारी प्रमापी उसे स्वीकार नहीं करते है। इस प्रमापी को मिस्त्री इस्तेमाल करते हैं ।"
"Gauge, wire",तार-प्रमापी,तार के व्यास को मापने वाला यंत्र ।
"Gauging, air",वायु-प्रमापन,वायु प्रमापन प्रक्रम में वास्तव में उस वायु का दाब मापा जाता है जो वायु मापी जा रही पृष्ठ और प्रमापी-पृष्ठ के मध्य चली जाती है ।
"Gauging, indicating",सूचक-प्रमापी,यह प्रमापी घड़ी या घन्टे के आकार का होता है। जिसमें एक सुई लगी होती है जो मापे जाने वाले अवयव का साइज बतलाती है। वलय और डाट-प्रमापी की तरह यह वास्तव में कार्य का मापन नहीं करता है अपितु अति निकट सीमा तक अवयव के सन्निकट साइज को सूचित करता है। कुछ प्रमापों में मापित क्रमांकन नहीं होते है बल्कि चिन्ह बने होते है जो इस बात के द्योतक है कि अगर सुई इन चिन्हों के मध्य ठहर जाती है तो परिक्षित अवयव विनिर्दिष्ट सीमा के अन्दर है।
"Gauge, ring",वलय-प्रमापी,"एक प्रकार का प्रमापी, जिसकी अन्तः पृष्ठ आकार में वर्तुल होती है। यह कार्यशाला-प्रमापी की श्रेणी में आता है।"
"Gauge, Screw thread pitch",पेंंच चूड़ी अन्तराल प्रमापी,"चूड़ी अंतराल मापने का यह एक लयु उपयंत्र होता है जिसमें अनेक प्रमापी-पत्तियां जेबी-चाकू में फलकों की तरह आरोपित रहती है। यह पेंच में एक सैन्टीमीटर में चूड़ियों की संख्या बतलाता है। जैसा कि चित्र-23 में दर्शाया गया है।
￼

पेंंच चूड़ी अन्तराल 
चित्र-23"
"Gauge, snap",स्नैप-प्रमापी,यह एक प्रकार का असमायोज्य प्रमापी होता है। जिससे आन्तरिक और बाहरी साइज मापे जाते है।
"Gauge, taper",टेपर प्रमाप,इस प्रमापी द्वारा शुण्डकार अवयव के आन्तरिक एवं बाह्य साइज को मापा जाता है।
Gear,गरारी/गियर,"दांतेदार पहिया, प्रायः यह एक चक्रिका होती है जिसकी परिधि पर दाते बने होते हैं। ये आमतौर पर गोल होती है।"
"Gear, annular",वलयाकार गरारी,वलय के आकार का दांतेदार पहिया जिसकी आन्तरिक परिधि पर दाँते बने होते हैं।
"Bear, bevel",बेवेल गरारी,"वे गरारियां, जिसके कोणीय पृष्ठ पर दांते बने होते है। इनकी सहायता से कोण पर स्थित शॉफ्ट को शक्ति संचारित की जाती है ।"
gear-box,गियर-बॉक्स,"बॉक्स या आवरक, जिसमें गरारियो का पूर्ण तंत्र रहता है, जिसकी सहायता से चालक-शॉफ्ट से चालित-शॉफ्ट के मध्य चाल को बदला जाता है या घूर्णन को दिशा को बदला जाता है या चाल को बदले या बिना बदले शॉफ्ट की दिशा को बदला जाता है ।"
gear case,गरारी आवरक,एक आवरक जिसके अन्दर गरारी-तंत्र रहता है ताकि धूल आदि अन्दर न जा सके ।
gear cluster,गरारी-गुच्छ,"गरारी-पहियों का सैट, जो या तो शॉफ्ट पर ही बना होता है या शॉफ्ट के साथ स्थायी रुप से बंधा रहता है जैसा कि आटोमोबील के गरारी बॉक्स की सहायक शॉफ्ट पर ।"
gear cutters,गरारी कर्तक,"दंत प्ररुपी-भ्रमिकर्तक या हॉब आदि, जिनकी सहायता से गरारी-पहियों पर दाते काटे जाते है।"
gear cutting machine,गरारी कर्तन मशीन,"दांतेदार पहिये बनाने वाली मशीन, इसमें दांतों के मध्य के पदार्थ
को हटाया जाता है।"
"gear, differential",विभेदी गरारी,"इस अभिन्यास में दो समाक्ष शाफ्टों पर बेवेल या स्पर गरारी लगी होती है लेकिन आज कल बेवेल गरारी लगी होती है तथा तीसरे समाक्ष अवयव का घूर्णन अन्य दोनों के घूर्णन के अन्तर या योग के समानुपाती होता है।
बहु प्रचलित विभेदी-गरारी निकाय आँटोमोबील के पिछले धुरों पर लगी होती है। इन गरारियों की सहायता से इंजन पिछले पहियों को उस समय भिन्न दर पर घुमाता है, जब आटोमोबील व्रक पर चल रही होती है तथा सीधी चालन में एक ही दर पर घुमाता है ।
अन्य प्रकार की विभेदी गणारी अभिन्यास में वर्म गरारी को दो हिस्सों में बनाया जाता है एक में 100 दांते होते है और दूसरे में 99 दाते होते हैं। वर्म दोनों अर्धो को चलायेगा।"
Gear drive,गियर चालन,इस प्रकार के चालन में शाफ्टों के मध्य शक्ति संचरण गियरों के द्वारा होता है इस चालन की विशेषता यह है कि इसमें चालन सर्पण रहित होती है।
Geared headstock,गियरित हैडस्टॉक,हैडस्टॉक जिसमें पश्च-गरारी लगी होती है।
geared lathe,गियरित खराद,"वह खराद, ।असमें पश्च-गरारी या बहु-चाल रारी-बॉक्स होता है जो चालक मोटर और शीर्ष (हैडस्टॉक) के मध्य लगा होता है।"
gear grinding machine,गरारी अपर्घषण मशीन,"गरारी को अपघर्षित करने वाली मशीन, इसके द्वारा तापोपचार के कारण गियर में आई विकृति को हटाया जाता है इसमें या तो प्ररुपित अपघर्षी पहियों का या दो सपाट पहियों का इस्तेमाल किया जाता है जो दो गरारियों के दांतों के मध्य के अवकाश में फिट हो जाते हैं।"
gearing,गियरन या गियर निकाय,"(1) शक्ति-सचरण के लिये गरारी पहियों का तंत्र या विन्यास ।
(2) गियरन का एक अर्थ सिर्फ गियर से होता है। लेकिन अधिकांश रुप में गरारियों के विन्यास के रुप में इसका इस्तेमाल किया जाता है। गरारी-तंत्र के अन्तर्गत सभी प्रकार के दांतेदार पहिये आते है जो गतिमान अवयवों में निश्चित गति प्रदान करते हैं ।"
gearing down,गियर-मंदन,चालक शॉफ्ट (यूनिट) से चालित शॉफ्ट (यूनिट) का चाल मंदन ।
gearing up,गियर वर्धन,चालक शॉफ्ट (यूनिट) से चालित शॉफ्ट (यूनिट) की चाल बढ़ाना ।
gear miller,गियर भ्रमिकर्तक,"भ्रमिकर्तित्र/मिलिंग मशीन, जिसमें सही-आकार भ्रमिकर्तक की सहायता से गरारी के दांते काटे जाते है।"
Gear pump,गिर पम्प,"वह पम्प, जिसमें ढलवां लोह या इस्पात के कोश के अन्दर दो गियर लगे होते हैं। एक गियर किसी वाह्य साधन से चलाया जाता है तथा यह गियर दूसरे को चलाता है।"
Gland follower,ग्लैंड अनुगामी,"एक प्रकार की बुश, जो पैकिंग को क्षरणरोधी-पेटी में दबाये रखती है तथा अपक्षरण को नियंत्रित रखती है।"
Gland sealing line,ग्लैंड सील-लाइन,"पाइप-लाइन, जो सील-जल को क्षरण-रोधी पेटी में प्रेषित करती है ।"
