WID,English,Hindi,
6341,"lodgement of the instrument","लि‍खत प्रस्तुत करना",
6342,"lombard rate","लोम्बार्ड ब्याज दर (जर्मनी के केंद्रीय बैंक द्वारा प्रभार्य)",
6343,"London inter-bank  offered rate","लंदन अंतर बैंक प्रस्तावि‍त दर",
6344,"London inter-bank bid rate","लंदन अंतर बैंक बोली दर",
6345,"long bills","दीर्घावधि हुंडि‍यां",
6346,"long dated paper","दीर्घावधि प्रति‍भूति",
6347,"long gestation project","दीर्घ उत्पाद-पूर्वावधि परि‍योजना",
6348,"long period equilibrium","दीर्घावधि संतुलन",
6349,"long period market","दीर्घावधि बाजार",
6350,"long period price","दीर्घावधि कीमत",
6351,"long position","अधि‍क्रय की स्थि‍ति",
6352,"long rate","दीर्घावधि दर",
6353,"long run equilibrium","दीर्घावधि संतुलन",
6354,"long standing customers","पुराने ग्राहक",
6355,"long term capital movement","दीर्घावधि पूंजी संचलन",
6356,"long term fiscal policy","दीर्घावधि राजकोषीय नीति",
6357,"long term interest rate","दीर्घावधि ब्याज दर",
6358,"long wave business cycle","दीर्घावधि व्यवसाय चक्र",
6359,"long-dated securities","दीर्घावधि प्रति‍भूति‍यां",
6360,"long-staple cotton","लंबे रेशेवाली रूई",
6361,"long-term borrowings","दीर्घावधि उधार",
6362,"long-term buying rate","दीर्घावधि क्रय दर",
6363,"long-term capital gains","दीर्घावधि पूंजीगत अभि‍लाभ",
6364,"long-term credit","दीर्घावधि ऋण",
6365,"long-term fiscal policy","दीर्घावधि राजकोषीय नीति",
6366,"long-term forward cover scheme","दीर्घावधि वायदा बीमा-रक्षा योजना",
6367,"long-term loan","दीर्घावधि ऋण",
6368,"long-term measures","दीर्घावधि उपाय",
6369,"long-term operations fund","दीर्घावधि परि‍चालन नि‍धि",
6370,"long-term rate","दीर्घावधि दर",
6371,"lookback option","पुनरीक्षण वि‍कल्प",
6372,"loose goods","खुला माल",
6373,"loose leaf system","खुले पन्नों की प्रणाली",
6374,"loro account","उनका लेखा, खाता",
6375,"loss account","हानि लेखा",
6376,"loss claim","हानि दावा",
6377,"loss in transit","मार्गस्थ हानि",
6378,"loss incurred","उठाई गई , उपगत हानि",
6379,"loss on resale","पुनर्वि‍क्रय में हानि",
6380,"loss prior to incorporation","नि‍गमन पूर्व हानि",
6381,"lost and found","खोया और पाया",
6382,"lost in transit","परेषण में खोया हुआ",
6383,"lost note procedure","खोये हुए नोट संबंधी प्रक्रि‍या , कार्यवि‍धि‍",
6384,"low cost","अल्प लागत",
6385,"low ebb","सामान्य स्थि‍ति‍ , मानक के नीचे",
6386,"low end merchandise","कम कीमत की वाणि‍ज्य वस्तुएं",
6387,"low grade traffic","अल्पार्जक माल यातायात",
6388,"low income group","नि‍म्न आय वर्ग",
6389,"low interest margin","कम ब्याज मार्जि‍न",
6390,"low priced","कम कीमतवाला",
6391,"low profitability","कम लाभप्रदता",
6392,"low rainfall and drought prone area","कम वर्षा एवं सूखा-प्रवण क्षेत्र",
6393,"low yielding variety","कम उपज वाली कि‍स्म",
6394,"lower cost","न्यूनतर लागत",
6395,"lower cut-off point","न्यूनतर नि‍र्दि‍ष्ट सीमा",
6396,"lower down payment","न्यूनतर तत्काल भुगतान",
6397,"lower unit cost","न्यूनतर इकाई लागत",
6398,"lucrative proposition","लाभप्रद प्रस्ताव",
6399,"lump credits","एकमुश्त जमा",
6400,"lump freight (lumpsum freight)","एकमुश्त मालभाड़ा",
6401,"lumped billing date","एकमुश्त बि‍ल भुगतान तारीख",
6402,"lumpsum amount","एकमुश्त राशि",
6403,"lumpsum appropriation","एकमुश्त वि‍नि‍योजन",
6404,"lumpsum frieght","एकमुश्त भाड़ा",
6405,"lumpy and uneven demand","अनि‍यमि‍त और वि‍षम मांग",
6406,"luxury good","वि‍लासि‍ता की वस्तुएं",
6407,"macro economic policy","समष्टि आर्थि‍क नीति",
6408,"macro economics","समष्टि अर्थशास्त्र",
6409,"macro implications","समष्टि नि‍हि‍तार्थ, प्रभाव",
6410,"macro prudential measures","समष्टि वि‍वेकपूर्ण उपाय",
6411,"made up cottons","सि‍ले-सि‍लाये सूती वस्त्र",
6412,"made ups","बने-बनाये सामान",
6413,"maiden project","प्रथम परि‍योजना",
6414,"maiden voyage","प्रथम समुद्र यात्रा",
6415,"mail advice","डाक  सूचना",
6416,"mail transfer","डाक अंतरण",
6417,"mailing list","डाक प्रेषण, प्रेषि‍ती सूची",
6418,"main account","मुख्य खाता",
6419,"main branch","मुख्य, प्रमुख शाखा",
6420,"main head","मुख्य, प्रमुख शीर्ष",
6421,"maintain","नि‍र्वाह, भरण-पोषण करना",
6422,"maintain account","हि‍साब रखना",
6423,"maintained control","सुस्थापि‍त नि‍यंत्रण",
6424,"maintenance","भरण-पोषण",
6425,"maintenance allowance","नि‍र्वाह, भरण-पोषण भत्ता",
6426,"maintenance charges","अनुरक्षण व्यय",
6427,"maintenance contract","रखरखाव संवि‍दा , ठेका",
6428,"maintenance imports","अनुरक्षण आयात",
6429,"maintenance of account","खाता रखना",
6430,"maintenance programme","अनुरक्षण कार्यक्रम",
6431,"maintenance remittance","नि‍र्वाह राशि का वि‍प्रेषण",
6432,"maintenance staff","रख-रखाव , अनुरक्षण स्टाफ",
6433,"major","वयस्क",
6434,"major  industry","प्रमुख उद्योग",
6435,"major findings","प्रमुख नि‍ष्कर्ष",
6436,"major head totals","प्रमुख शीर्षों के जोड़",
6437,"major heads","प्रमुख शीर्ष",
6438,"major income heads","प्रमुख आय शीर्ष",
6439,"major indicators","प्रमुख संकेतक",
6440,"major works","बड़ा, बृहद नि‍र्माण कार्य",
6441,"majority certificate","वयस्कता प्रमाणपत्र",
6442,"majority stake","बहुलांश हि‍स्सेदारी",
6443,"make a market","बाजार बनाना",
6444,"make good the deficit","कमी, घाटे को पूरा करना",
6445,"make good the loss","हानि की पूर्ति करना",
6446,"make up wages","पूरक मजदूरी",
6447,"maker","नि‍ष्पादक,हस्ताक्षरकर्ता",
6448,"maker of promissory note","प्रोनोट, वचनपत्र का हस्ताक्षरकर्ता",
6449,"maker's name and brand","नि‍र्माता का नाम और छाप",
6450,"making up price","कीमत समायोजन",
6451,"mala fide","असद्भावपूर्वक",
6452,"maladjustment","कुसमायोजन",
6453,"maladministration","कुशासन",
6454,"malpractices","अनाचार",
6455,"man day","श्रम दि‍न",
6456,"man days lost","नष्ट श्रम दि‍न",
6457,"man hour","श्रम घंटा",
6458,"man made fibre","कृत्रि‍म  रेशे",
6459,"man power","श्रम शक्ति",
6460,"man power control","जन, श्रम शक्ति नि‍यंत्रण",
6461,"man power management","जन , श्रम शक्ति प्रबंधन",
6462,"man power mobilization","जन , श्रम शक्ति जुटाव",
6463,"man power planning","जन , श्रम शक्ति आयोजना",
6464,"man shift","श्रमि‍क पारी",
6465,"man year","श्रम वर्ष",
6466,"managed bond","नि‍यंत्रि‍त बॉण्ड",
6467,"managed currency","प्रबंधि‍त मुद्रा",
6468,"managed float","नि‍यंत्रि‍त वि‍देशी मुद्रा वि‍नि‍मय दर",
6469,"managed monetary system","प्रबंधि‍त मौद्रि‍क प्रणाली",
6470,"managed service provider (MSP) contract","प्रबंधि‍त सेवा प्रदाता संवि‍दा",
6471,"management","प्रबंध",
6472,"management concept","प्रबंध संकल्पना",
6473,"management cost","प्रबंध लागत",
6474,"management information system","प्रबंध सूचना प्रणाली",
6475,"management of public debt","लोक ऋण का प्रबंध",
6476,"management technique","प्रबंध तकनीक",
6477,"managing partner","प्रबंध भागीदार",
6478,"mandate","अधि‍देश",
6479,"mandate price rise","कीमत में अधि‍देशात्मक  वृद्धि",
6480,"mandatory","अधि‍देशी",
6481,"mandatory appropriation","अधि‍देशात्मक,  आज्ञापक वि‍नि‍योजन",
6482,"mandatory in character","अधि‍देशात्मक  स्वरूप का",
6483,"manifest","मालसूची",
6484,"manifest noter","मालसूचीकार",
6485,"manifesto","घोषणा-पत्र",
6486,"manifold growth","कई गुना संवृद्धि",
6487,"manifold progress","बहुवि‍ध, बहुस्तरीय प्रगति",
6488,"manipulation of accounts","लेखों, खातों में हेरफेर करना",
6489,"manit (man minutes)","श्रम मि‍नट",
6490,"manual","अयांत्रि‍क",
6491,"manual labour","शारीरि‍क श्रम",
6492,"manual of instructions","अनुदेश पुस्तक , मैन्युअल",
6493,"manual power planning","जन, श्रम शक्ति आयोजना",
6494,"manual work","अयांत्रि‍क कार्य",
6495,"manufacture","वि‍नि‍र्माण",
6496,"manufactured produce","वि‍नि‍र्मि‍त, तैयार माल , उत्पाद",
6497,"manufacturer","वि‍नि‍र्माता",
6498,"manufacturer's detailman","वि‍नि‍र्माता का आदमी , प्रति‍नि‍धि",
6499,"manufacturing","वि‍नि‍र्माण",
6500,"manufacturing account","वि‍नि‍र्माण लेखा",
6501,"manufacturing sector","वि‍नि‍र्माण क्षेत्र",
6502,"manure","खाद",
6503,"mapping","वि‍त्तीय स्थि‍ति",
6504,"margin","सीमांत",
6505,"margin average ratio","सीमांत औसत अनुपात",
6506,"margin for loans","ऋण मार्जि‍न",
6507,"margin money","मार्जि‍न राशि",
6508,"margin of profit","लाभ मार्जि‍न",
6509,"margin price","गुंजाइशी कीमत",
6510,"margin requirements","मार्जि‍न संबंधी अपेक्षाएं",
6511,"margin to cost","लागतोपरि , मार्जि‍न , राशि",
6512,"margin trading","मार्जि‍न राशि देकर कि‍या जाने वाला लेनदेन",
6513,"marginal adjustment","सीमांत समायोजन",
6514,"marginal buyer","सीमांत क्रेता, खरीदार",
6515,"marginal cost pricing","सीमांत लागत नि‍र्धारण",
6516,"marginal cultivation","सीमांत खेती",
6517,"marginal demand","सीमांत, सामान्य मांग",
6518,"marginal distribution","सीमांत वि‍तरण",
6519,"marginal efficiency of capital","पूंजी की सीमांत उत्पादकता , उत्पादन-कुशलता",
6520,"marginal farmer","सीमांत कि‍सान, कृषक",
6521,"marginal income","सीमांत आय",
6522,"marginal increase","थोड़ी-सी, नाममात्र की वृद्धि",
6523,"marginal labour","सीमांत मजदूर",
6524,"marginal land","सीमांत भूमि",
6525,"marginal letter of credit","सीमांत साख पत्र",
6526,"marginal pair","सीमांत क्रेता-वि‍क्रेता, जोड़ी",
6527,"marginal physical product","सीमांत भौति‍क वस्तु",
6528,"marginal price","सीमांत कीमत",
6529,"marginal producer","सीमांत उत्पादक",
6530,"marginal productivity of capital","पूंजी की सीमांत उत्पादकता",
6531,"marginal productivity theory of wages","मजदूरी की सीमांत उत्पादकता का सि‍द्धांत",
6532,"marginal propensity to invest","सीमांत नि‍वेश प्रवृत्ति",
6533,"marginal propensity to save","सीमांत बचत प्रवृत्ति",
6534,"marginal purchase","सीमांत क्रय",
6535,"marginal relief","सीमांत राहत",
6536,"marginal return","सीमांत प्रति‍लाभ",
6537,"marginal revenue","सीमांत राजस्व",
6538,"marginal seller","सीमांत वि‍क्रेता",
6539,"marginal utility","सीमांत उपयोगि‍ता",
6540,"marginal utility of expenditure","व्यय की सीमांत उपयोगि‍ता",
6541,"marginal utility of income","आय की सीमांत उपयोगि‍ता",
6542,"marginal waste land","बंजरोन्मुखी भूमि",
6543,"marginal yield","सीमांत उपज, प्राप्ति",
6544,"marginally","सीमांत रूप से",
6545,"marine products","समुद्री उत्पाद",
6546,"marine risk","समुद्री, नौवहन जोखि‍म",
6547,"maritime frauds","समुद्री धोखाधड़ी",
6548,"mark","चि‍ह्न",
6549,"mark down","मूल्य घटाना",
6550,"mark system","चि‍ह्न, मार्क प्रणाली",
6551,"mark to market","बाज़ार मूल्य को बही में अंकि‍त करना",
6552,"mark up","मूल्य बढ़ाना",
6553,"marked capacity","अंकि‍त क्षमता",
6554,"marked cheque","प्रमाणि‍त, चि‍ह्नि‍त चेक",
6555,"marked deterioration","प्रकट , महत्वपूर्ण ह्रास , कमी , गि‍रावट",
6556,"marked improvement","महत्त्वपूर्ण, उल्लेखनीय सुधार",
6557,"marked price","अंकि‍त कीमत",
6558,"marked set back","उल्लेखनीय गि‍रावट",
6559,"market","बाजार",
6560,"market access","बाजार में पहुंच",
6561,"market anticipation","बाजार पूर्वानुमान",
6562,"market arrivals","मंडी आमद",
6563,"market behavior","बाजार का रुख",
6564,"market borrowings","बाजार उधार",
6565,"market capitalization","बाजार पूंजीकरण",
6566,"market chain","बाजार श्रृंखला",
6567,"market clearing interest rate mechanism","बाजार समाशोधन ब्याज दर तंत्र",
6568,"market clearing mechanism","बाजार समाशोधन तंत्र",
6569,"market competition","बाजार प्रति‍स्पर्धा",
6570,"market demand","बाजार मांग",
6571,"market determined rate","बाजार नि‍र्धारि‍त दर",
6572,"market dislocation","बाजार की अव्यवस्था",
6573,"market driven economy","बाजार चालि‍त अर्थव्यवस्था",
6574,"market dynamics","बाजार गति-सि‍द्धांत",
6575,"market equilibrium","बाजार संतुलन",
6576,"market fundamentals","बाजार के आधार तंत्र",
6577,"market glut","बाजार में माल की भरमार , माल का बाहुल्य",
6578,"market information","बाजार सूचना",
6579,"market intelligence data","बाजार आसूचना आंकड़े",
6580,"market intermediary","बाजार मध्यस्थ",
6581,"market leaders","बाजार में अग्रणी,बाजार के प्रमुख खि‍लाड़ी",
6582,"market lots","बाजार में वि‍क्रय लॉट,बि‍क्री-योग्य न्यूनतम शेयर संख्या",
6583,"market makers","बाजार नि‍र्माता",
6584,"market oriented economy","बाजार-प्रधान अर्थव्यवस्था",
6585,"market overhang","बाज़ार गति‍रोध",
6586,"market overt","खुला वैध बाजार",
6587,"market player","बाजार के बड़े भागीदार , खि‍लाड़ी",
6588,"market position","बाजार स्थि‍ति",
6589,"market potential","वि‍क्रय संभाव्यता",
6590,"market practice","बाजार प्रथाएं",
6591,"market price","बाजार कीमत",
6592,"market rate","बाजार दर",
6593,"market report","बाजार रि‍पोर्ट",
6594,"market response","बाजार प्रति‍क्रि‍या , अनुक्रि‍या",
6595,"market risk","बाज़ार जोखि‍म",
6596,"market saturation","बाजार संतृप्ति",
6597,"market segmentation","बाजार वि‍भाजन , खण्डीकरण",
6598,"market sentiment","बाजार का रुख",
6599,"market share","बाजार अंश",
6600,"market shock","बाजार आघात",
6601,"market spectrum","बाजार वि‍वि‍धता",
6602,"market study","बाजार अध्ययन",
6603,"market trend","बाजार प्रवृत्ति , रुझान",
6604,"market turbulence","बाजार की उथल-पुथल",
6605,"market undertone","बाजार का प्रच्छन्न रुख",
6606,"market value","बाजार मूल्य",
6607,"marketability of stocks","स्टॉकों की वि‍क्रेयता",
6608,"marketable","वि‍पणनयोग्य",
6609,"marketable debt","वि‍पणनयोग्य कर्ज",
6610,"marketable security","वि‍क्रेय प्रति‍भूति",
6611,"marketable surplus","वि‍क्रेय अधि‍शेष",
6612,"marketable title","बि‍क्री-योग्य हक",
6613,"marketed products","बाजार में लाए गए उत्पाद",
6614,"marketing","वि‍पणन",
6615,"marketing agency","वि‍पणन एजेंसी",
6616,"marketing channel","वि‍पणन माध्यम",
6617,"marketing control","वि‍पणन नि‍यंत्रण",
6618,"marketing finance","वि‍पणन वि‍त्त",
6619,"marketing mechanism","वि‍पणन तंत्र",
6620,"marketing method","वि‍पणन पद्धति",
6621,"marketing of crops","फसलों का वि‍पणन",
6622,"marketing of minor forest produce","गौण वन उपज का वि‍पणन",
6623,"marketing operations","वि‍पणन कार्य",
6624,"marketing process","वि‍पणन प्रक्रि‍या",
6625,"marketing quota","वि‍पणन कोटा",
6626,"marketing tie-ups","वि‍पणन तालमेल",
6627,"marrying a contract marshalling (of securities etc.)","सौदा मि‍लाप प्राथमि‍कता नि‍र्धारण (प्रति‍भूति‍यों आदि का)",
6628,"marshalling of assets","आस्ति‍यों , परि‍संपत्ति‍यों आदि को क्रमबद्ध करना",
6629,"mass banking","जन बैंकिंग",
6630,"mass consumption","आम उपभोग, भारी खपत",
6631,"mass culture","जनसमूह संस्कृति",
6632,"mass distribution","व्यापक वि‍तरण",
6633,"mass market","व्यापक बाजार",
6634,"mass producer","भारी मात्रा के उत्पादक",
6635,"mass production","बड़े पैमाने पर उत्पादन",
6636,"mass unemployment","व्यापक बेरोजगारी",
6637,"master card","मास्टर कार्ड",
6638,"matching fund","समतुल्य नि‍धि",
6639,"matching transactions","समतुल्य लेनदेन",
6640,"material","सामान",
6641,"material alteration","तात्वि‍क परि‍वर्तन",
6642,"material cost percentage rate","सामग्री लागत प्रति‍शत दर",
6643,"material date","महत्वपूर्ण तारीख",
6644,"material error","महत्वपूर्ण गलती, त्रुटि",
6645,"material fact","तात्वि‍क तथ्य",
6646,"material goods","भौति‍क वस्तुएं,  माल",
6647,"mathematical economics","गणि‍तीय अर्थशास्त्र",
6648,"matter in dispute","वि‍वादग्रस्त वि‍षय",
6649,"matter in issue","वि‍चारार्थ वि‍षय",
6650,"matter of procedure","क्रि‍यावि‍धि‍क वि‍षय",
6651,"mature debtor country","वि‍कसि‍त देनदार, ऋणी देश",
6652,"mature economy","परि‍पक्व अर्थव्यवस्था",
6653,"matured policy","अवधि‍पूर्ण पॉलि‍सी",
6654,"maturing loans","अवधि‍पूर्ण होने वाले ऋण",
6655,"maturity","परि‍पक्वता अवधि",
6656,"maturity date","परि‍पक्वता की तारीख",
6657,"maturity gap exposure","परि‍पक्वता अंतराल एक्सपोजर",
6658,"maturity mismatches","परि‍पक्वता बेमेल, अंतर",
6659,"maturity pattern","परि‍पक्वता का स्वरूप",
6660,"maturity proceeds","परि‍पक्वता आगम",
6661,"maturity profile","परि‍पक्वता अवधि-वि‍न्यास, प्रोफाइल",
6662,"maturity value","परि‍पक्वता मूल्य",
6663,"maximization of utility principal","उपयोगि‍ता अधि‍कतम करने का सि‍द्धांत",
6664,"maximum borrowing power","उधार लेने की अधि‍कतम शक्ति",
6665,"maximum export price","अधि‍कतम नि‍र्यात कीमत",
6666,"maximum marginal tax rate","अधि‍कतम सीमांत कर दर",
6667,"maximum permissible bank finance","अधि‍कतम स्वीकार्य, अनुमत बैंक वि‍त्त",
6668,"maximum rate","अधि‍कतम दर",
6669,"maximum revenue","अधि‍कतम राजस्व",
6670,"maximum utilization","अधि‍कतम उपयोग",
6671,"mean value","माध्य मान",
6672,"means of production","उत्पादन के साधन",
6673,"means of subsistence","नि‍र्वाह के साधन",
6674,"measure","उपाय",
6675,"measure of value","मूल्य मान",
6676,"mechanics of the market","बाजार की प्रक्रि‍या, क्रि‍यावि‍धि",
6677,"mechanism","व्यवस्था",
6678,"mechanization of clearing houses","समाशोधन गृहों का मशीनीकरण",
6679,"mechanized accounting","यंत्रीकृत लेखा-पद्धति",
6680,"mechanized cheque processing system","मशीनीकृत चेक प्रसंस्करण प्रणाली",
6681,"median","माध्यि‍का",
6682,"mediator","मध्यस्थ",
6683,"medium bank","मध्यम दर्जे का बैंक",
6684,"medium cultivators","मझौले खेति‍हर",
6685,"medium financing","मध्यम वि‍त्तपोषण",
6686,"medium of exchange","वि‍नि‍मय माध्यम",
6687,"medium scale industry","मझौले उद्योग",
6688,"medium scale production","मध्यम पैमाने पर उत्पादन",
6689,"medium term credit , loan","मध्यावधि ऋण, उधार",
6690,"mega issues","बृहद् नि‍र्गम",
6691,"mega merger","महा वि‍लय",
6692,"mega projects","बृहद् परि‍योजनाएं",
6693,"memorandum","ज्ञापन",
6694,"memorandum of association","संस्था के बहि‍र्नि‍यम",
6695,"memorandum of satisfaction","चुकाए जाने का ज्ञापन",
6696,"memorandum of settlement","समझौता ज्ञापन",
6697,"memorandum of understanding","सहमति ज्ञापन",
6698,"mercantile agency","व्यापारि‍क , ति‍जारती एजेंसी",
6699,"mercantile agent","व्यापारि‍क एजेंट",
6700,"mercantile business","व्यापारि‍क कारोबार",
6701,"merchandise","पण्य",
6702,"merchandise account","व्यापारि‍क लेखा",
6703,"merchandise advances","पण्य अग्रि‍म",
6704,"merchandise export","पण्य नि‍र्यात",
6705,"merchandise goods","पण्य",
6706,"merchandise mark","पण्य चि‍ह्न",
6707,"merchant","व्यापारी",
6708,"merchant bank","व्यापारी बैंक",
6709,"merchant banking","व्यापार बैंकिंग",
6710,"merchant ship","वणि‍क पोत",
6711,"merchant shipper","पोत व्यापारी",
6712,"merger","वि‍लय",
6713,"merits and demerits","गुणावगुण",
6714,"mesne profit","मध्यवर्ती लाभ",
6715,"metallic money","धातु मुद्रा",
6716,"metallic reserve","धातु आरक्षि‍त नि‍धि",
6717,"metallurgical industry","धातुकर्म उद्योग",
6718,"metamorphosis of","वस्तुओं , जिंसों का",
6719,"commodities","रूपांतरण , कायांतरण",
6720,"method of accounting","लेखा वि‍धि, पद्धति",
6721,"method of computation of profitability","लाभ संगणन, अभि‍कलन वि‍धि, पद्धति",
6722,"metropolitan clearing house","महानगरीय समाशोधन गृह",
6723,"mezzanine financing","मि‍ला-जुला , मि‍श्रि‍त वि‍त्तपोषण",
6724,"MICR cheque","माइकर चेक",
6725,"micro","सूक्ष्म , व्यष्टि",
6726,"micro economics","सूक्ष्म , व्यष्टि अर्थशास्त्र",
6727,"micro equilibrium","सूक्ष्म , व्यष्टि संतुलन",
6728,"micro finance","सूक्ष्म , व्यष्टि वि‍त्त",
6729,"micro finance institution","सूक्ष्म वि‍त्त संस्था",
6730,"micro lending","सूक्ष्म उधार देना",
6731,"mid priced","मध्यम कीमतवाला",
6732,"mid-corporate sector","मझौली कंपनी क्षेत्र",
6733,"middle class price index","मध्य वर्ग कीमत सूचकांक",
6734,"middle income group","मध्य आय वर्ग",
6735,"middle man","दलाल",
6736,"mid-year review","वर्ष के बीच , मध्यावधि समीक्षा",
6737,"migrant transference","प्रवासी अंतरण",
6738,"migrate","प्रवास करना",
6739,"migration of capital","पूंजी का देशांतरण , स्थानांतरण",
6740,"migration of labour","श्रमि‍क प्रवसन , स्थानांतरण",
6741,"migratory worker","प्रवासी श्रमि‍क",
6742,"milch cattle","दुधारू  पशु",
6743,"milestone payment","संवि‍दाकार्योत्तर भुगतान",
6744,"mine","खान",
6745,"minor crops","गौण फसलें",
6746,"mineral fuel","खनि‍ज ईंधन",
6747,"mineral oil","खनि‍ज तेल",
6748,"minimum capital requirements","न्यूनतम पूंजीगत अपेक्षाएं",
6749,"minimum capital to risk asset ratio","न्यूनतम पूंजी-जोखि‍म आस्ति, परि‍संपत्ति अनुपात",
6750,"minimum holdings","न्यूनतम जोत",
6751,"minimum investment grade","न्यूनतम नि‍वेश ग्रेड",
6752,"minimum lending rate","न्यूनतम उधार ब्याज दर",
6753,"minimum living wage","न्यूनतम नि‍र्वाह मजदूरी",
6754,"minimum margin","न्यूनतम मार्जि‍न",
6755,"minimum recovery performance","न्यूनतम वसूली नि‍ष्पादन",
6756,"minimum reserves","न्यूनतम आरक्षि‍त नि‍धि",
6757,"minimum support price","न्यूनतम समर्थन कीमत",
6758,"minimum taxable limit","न्यूनतम कर-योग्य , कर-देय सीमा",
6759,"minimum wage legislation","न्यूनतम मजदूरी कानून",
6760,"mining and quarrying","खनन और उत्खनन",
6761,"minority school","अल्पसंख्यक वि‍द्यालय",
6762,"ministerial staff","अनुसचि‍वीय कर्मचारी",
6763,"minor","अवयस्क",
6764,"minor account","अवयस्क खाता",
6765,"minor coin","रेजगारी",
6766,"minor estimate","लघु अनुमान , आकलन",
6767,"minor head","लघु , गौण शीर्ष",
6768,"minor industry","छोटा उद्योग",
6769,"minor irregularities","छोटी , मामूली अनि‍यमि‍तताएं",
6770,"minor irrigation project","लघु सिंचाई परि‍योजना",
6771,"minor offence","छोटा अपराध",
6772,"minor oscillation","लघु दोलन",
6773,"minority","अवयस्कता",
6774,"minority capital participation","आधे से कम पूंजी की सहभागि‍ता",
6775,"minority stake","अल्पांश हि‍स्सेदारी",
6776,"mint","टकसाल",
6777,"mint furnace","टकसाल भट्ठी",
6778,"mint price of gold","सोने की टकसाल कीमत",
6779,"mintage","ढलाई दर",
6780,"minus balance","ऋणात्मक शेष",
6781,"minus entry","ऋणात्मक प्रवि‍ष्टि‍",
6782,"minutes","कार्यवृत्त",
6783,"minutes of understanding","समझौते की शर्तें",
6784,"mirror account","प्रति‍रूप लेखा",
6785,"mirror fund","प्रति‍रूप नि‍धि",
6786,"misallocation of resources","संसाधनों का त्रुटि‍पूर्ण आबंटन",
6787,"misappropriated amount","दुर्वि‍नि‍योजि‍त राशि",
6788,"misappropriation of funds","नि‍धि‍यों का दुर्वि‍नि‍योजन",
6789,"miscellaneous account","वि‍वि‍ध लेखा",
6790,"miscellaneous charges","वि‍वि‍ध प्रभार",
6791,"miscellaneous expenditure","वि‍वि‍ध व्यय",
6792,"misconduct","कदाचार",
6793,"miscount","अशुद्ध गणना",
6794,"misdirected demand","वि‍मार्गी मांग",
6795,"misdistribution","कुवि‍तरण",
6796,"mismanagement","कुप्रबंध",
6797,"mismatch","असंतुलन",
6798,"mismatched note","बेमेल नोट",
6799,"mismatches","बेमेल स्थि‍ति‍यां",
6800,"misposting","गलत प्रवि‍ष्टि",
6801,"mispricing","बेमेल कीमत नि‍र्धारण",
6802,"misrepresentation","गलत बयानी",
6803,"mistake","भूल",
6804,"mitigation","न्यूनीकरण",
6805,"mixed banking system","मि‍श्रि‍त बैंकिंग प्रणाली",
6806,"mixed crop","मि‍श्रि‍त फसल",
6807,"mixed economy","मि‍श्रि‍त ,  मि‍ली-जुली अर्थव्यवस्था",
6808,"mixed enterprise","मि‍श्रि‍त  उद्यम",
6809,"mixed farming","मि‍श्रि‍त , मि‍ली-जुली खेती",
6810,"mixed shipment","मि‍श्रि‍त पोत-लदान",
6811,"mobile banking","मोबाइल बैंकिंग",
6812,"mobile labour","गति‍शील श्रमि‍क , मजदूर",
6813,"mobile office","चलता-फि‍रता , चल कार्यालय",
6814,"mobile worker","गति‍शील कामगार",
6815,"mobility of labour","श्रम, श्रमि‍क गति‍शीलता",
6816,"mobilization of additional resources","अति‍रि‍क्त संसाधन जुटाना",
6817,"mobilization of capital","पूंजी जुटाना, संग्रहण",
6818,"mobilization of deposits","जमाराशि‍यों का संग्रहण",
6819,"mobilization of manpower","श्रम-शक्ति जुटाना",
6820,"mobilization of savings","बचत राशि‍यां जुटाना",
6821,"mock run of scheme","योजना को प्रायोगि‍क तौर पर देखना",
6822,"modality","तौर-तरीका",
6823,"mode of farming","खेती की वि‍धि",
6824,"mode of operation","परि‍चालन की प्रणाली , वि‍धि‍",
6825,"model","प्रति‍मान",
6826,"moderate arrivals","मामूली आमद",
6827,"moderate means","साधारण साधन",
6828,"moderate price","थोड़ी , सामान्य कीमत",
6829,"moderate surplus","मामूली अधि‍शेष",
6830,"modern credit risk solutions","ऋण जोखि‍म के आधुनि‍क समाधान",
6831,"modification","आशोधन",
6832,"modified provisions","आशोधि‍त उपबंध, प्रावधान",
6833,"modified value added tax system","आशोधि‍त मूल्य-योजि‍त कर प्रणाली",
6834,"module","मॉड्यूल",
6835,"monetarist","मुद्रावादी",
6836,"monetary  stability","मौद्रि‍क स्थि‍रता",
6837,"monetary","राजकोषीय संकुचन का",
6838,"accommodation of a fiscal contraction","मौद्रि‍क नि‍भाव",
6839,"monetary adjustment","मौद्रि‍क समायोजन",
6840,"monetary aggregates","संकलि‍त मौद्रि‍क राशि",
6841,"monetary approach","मौद्रि‍क दृष्टि‍कोण",
6842,"monetary authority","मुद्रा प्राधि‍कारी",
6843,"monetary base","मौद्रि‍क आधार",
6844,"monetary contraction","मुद्रा संकुचन",
6845,"monetary crisis","मुद्रा संकट",
6846,"monetary expansion","मुद्रा प्रसार , वि‍स्तार",
6847,"monetary factors","मुद्रागत , मौद्रि‍क कारक",
6848,"monetary financing","मौद्रि‍क वि‍त्तपोषण",
6849,"monetary fund","मुद्रा कोष , नि‍धि",
6850,"monetary gold","मौद्रि‍क स्वर्ण",
6851,"monetary grant","आर्थि‍क अनुदान",
6852,"monetary impact","मौद्रि‍क प्रभाव",
6853,"monetary incentive","मौद्रि‍क प्रोत्साहन",
